Target Word,English Meaning,Example Sentence,English Translation
l'appartement,apartment,Mon appartement est au troisième étage.,My apartment is on the third floor.
le supermarché,supermarket,Je vais au supermarché cet après-midi.,I am going to the supermarket this afternoon.
le petit-déjeuner,breakfast,Je prends mon petit-déjeuner à sept heures.,I have breakfast at seven o'clock.
voyager,to travel,J'adore voyager en Europe.,I love travelling around Europe.
le train,train,Le train part à neuf heures.,The train leaves at nine o'clock.
malade,sick / ill,J'étais malade la semaine dernière.,I was sick last week.
acheter,to buy,Je veux acheter de nouveaux vêtements.,I want to buy new clothes.
comprendre,to understand,Je ne comprends pas cette question.,I do not understand this question.
chercher,to look for,Je cherche un bon restaurant.,I am looking for a good restaurant.
la ville,city,La ville possède de nombreux musées.,The city has many museums.
rentrer,to go home / return,Je rentre à la maison à dix-neuf heures.,I go home at seven in the evening.
la rue,street,Il y a beaucoup de boutiques dans cette rue.,There are many shops in this street.
le magasin,shop / store,Le magasin ferme à vingt heures.,The shop closes at eight in the evening.
apprendre,to learn,J'apprends le français depuis deux ans.,I have been learning French for two years.
trouver,to find,Je ne trouve pas mes clés.,I cannot find my keys.
