German Word,English Meaning,German Example Sentence,English Translation
die Wohnung,apartment,Meine Wohnung ist im dritten Stock.,My apartment is on the third floor.
der Supermarkt,supermarket,Ich gehe heute in den Supermarkt.,I am going to the supermarket today.
das Frühstück,breakfast,Ich esse Frühstück um sieben Uhr.,I eat breakfast at seven o'clock.
reisen,to travel,Wir möchten nächsten Sommer nach Italien reisen.,We would like to travel to Italy next summer.
der Zug,train,Der Zug fährt um neun Uhr ab.,The train departs at nine o'clock.
krank,sick / ill,Ich war letzte Woche krank.,I was sick last week.
das Wetter,weather,Das Wetter ist heute sehr schön.,The weather is very nice today.
kaufen,to buy,Ich möchte ein neues Buch kaufen.,I would like to buy a new book.
der Freund / die Freundin,friend,Mein Freund wohnt in Berlin.,My friend lives in Berlin.
verstehen,to understand,Ich verstehe die Aufgabe nicht.,I do not understand the task.
