Target Word,English Meaning,Example Sentence,English Translation
el apartamento,apartment,Mi apartamento está en el centro.,My apartment is in the centre.
el supermercado,supermarket,Voy al supermercado esta tarde.,I am going to the supermarket this afternoon.
el desayuno,breakfast,Desayuno a las siete de la mañana.,I have breakfast at seven in the morning.
viajar,to travel,Me encanta viajar por Europa.,I love travelling around Europe.
el tren,train,El tren sale a las nueve.,The train leaves at nine.
enfermo / enferma,sick / ill,Estuve enfermo la semana pasada.,I was sick last week.
comprar,to buy,Quiero comprar ropa nueva.,I want to buy new clothes.
entender,to understand,No entiendo esta pregunta.,I do not understand this question.
buscar,to look for,Estoy buscando un buen restaurante.,I am looking for a good restaurant.
la ciudad,city,La ciudad tiene muchos museos.,The city has many museums.
