Target Word,English Meaning,Example Sentence,English Translation
la posibilidad,possibility / opportunity,Hay muchas posibilidades en esta ciudad.,There are many opportunities in this city.
explicar,to explain,¿Puedes explicarme eso por favor?,Can you explain that to me please?
el resultado,result / outcome,El resultado del examen fue sorprendente.,The result of the exam was surprising.
la responsabilidad,responsibility,Esta tarea conlleva una gran responsabilidad.,This task carries a great responsibility.
comparar,to compare,Siempre debes comparar los precios.,You should always compare prices.
sin embargo,however / nevertheless,Me gusta la ciudad; sin embargo es muy cara.,I like the city; however it is very expensive.
la solución,solution,Buscamos una solución práctica al problema.,We are looking for a practical solution to the problem.
claro / clara,clear / obvious,Su explicación fue muy clara.,His explanation was very clear.
cuidar,to take care of,Ella cuida a su madre mayor.,She takes care of her elderly mother.
el ambiente,environment / atmosphere,El ambiente del restaurante es muy agradable.,The atmosphere of the restaurant is very pleasant.
