Target Word,English Meaning,Example Sentence,English Translation
ciao / salve,hello / hi (informal/formal),Salve! Come sta?,Hello! How are you?
grazie,thank you,Grazie per il tuo aiuto.,Thank you for your help.
per favore,please,Puoi aiutarmi per favore?,Can you help me, please?
sì,yes,Sì, capisco.,Yes, I understand.
no,no,No, non è corretto.,No, that is not correct.
la casa,house,La casa ha tre stanze.,The house has three rooms.
l'acqua,water,Bevo molta acqua ogni giorno.,I drink a lot of water every day.
mangiare,to eat,Mangiamo insieme ogni sera.,We eat together every evening.
il libro,book,Sto leggendo un libro interessante.,I am reading an interesting book.
parlare,to speak,Mi piace parlare italiano.,I like to speak Italian.
l'amico / l'amica,friend,La mia amica vive a Roma.,My friend lives in Rome.
il tempo,weather / time,Il tempo è bellissimo oggi.,The weather is very nice today.
il cane,dog,Il cane è molto amichevole.,The dog is very friendly.
il gatto,cat,Il gatto dorme sul divano.,The cat is sleeping on the sofa.
lavorare,to work,Lavoro in un ufficio in centro.,I work in an office in the city centre.
