German Word,English Meaning,German Example Sentence,English Translation
der Arbeitgeber / die Arbeitgeberin,employer,Ein guter Arbeitgeber fördert die Weiterbildung seiner Angestellten.,A good employer encourages the further training of his employees.
der Architekt / die Architektin,architect,Die Architektin hat den Plan für das neue Bürogebäude entworfen.,The architect designed the plan for the new office building.
der Automechaniker / die Automechanikerin,car mechanic,Der Automechaniker reparierte die Bremsen meines Wagens.,The car mechanic repaired my car's brakes.
der Autoproduzent,car manufacturer,Deutschland ist bekannt für seine großen Autoproduzenten.,Germany is known for its large car manufacturers.
die Branche,industry / sector,In welcher Branche möchten Sie später arbeiten?,In which industry would you like to work later?
der Betrieb,business / company,Der Betrieb hat über 50 Mitarbeiter.,The business has over 50 employees.
der Familienbetrieb,family business,Sie führt den Familienbetrieb bereits in der dritten Generation.,She is managing the family business in the third generation already.
die Hilfsorganisation,aid agency,Er arbeitet ehrenamtlich für eine internationale Hilfsorganisation.,He works voluntarily for an international aid agency.
die Lebensmittelbranche,food industry,Die Lebensmittelbranche muss strenge Hygienevorschriften beachten.,The food industry must observe strict hygiene regulations.
die Berufsausbildung,vocational training,Eine duale Berufsausbildung dauert meist drei Jahre.,Dual vocational training usually lasts three years.
der Berufsabschluss,vocational qualification,Ein anerkannter Berufsabschluss verbessert die Gehaltschancen.,A recognised vocational qualification improves salary prospects.
die Beratungsstelle,advice centre,Die Beratungsstelle hilft Jugendlichen bei der Berufswahl.,The advice centre helps young people with their career choice.
das Berufspraktikum,internship,Während des Studiums muss ich ein sechsmonatiges Berufspraktikum machen.,During my studies I have to do a six-month internship.
die freiberufliche Tätigkeit,freelance work,Er meldete seine freiberufliche Tätigkeit beim Finanzamt an.,He registered his freelance work with the tax office.
ein Unternehmen gründen,to start a company,Sie wollen gemeinsam ein Unternehmen gründen.,They want to start a company together.
die Berufserfahrung,professional experience,Viel Berufserfahrung ist für diese Position von Vorteil.,A lot of professional experience is an advantage for this position.
sich um eine Stelle bewerben,to apply for a job,Sie hat sich um eine Stelle als Abteilungsleiterin beworben.,She applied for a job as a department head.
eine Stelle antreten,to take up a position,Wann können Sie die Stelle antreten?,When can you take up the position?
das Arbeitsverhältnis,employment relationship,Das Arbeitsverhältnis ist unbefristet.,The employment relationship is permanent.
die IT-Branche,IT industry,Die IT-Branche wächst sehr schnell.,The IT industry is growing very fast.
die Pharmaindustrie,pharmaceutical industry,Die Pharmaindustrie entwickelt neue Medikamente.,The pharmaceutical industry develops new medicines.
die Berufschancen,career opportunities,Gute Englischkenntnisse verbessern Ihre Berufschancen.,Good English skills improve your career opportunities.
Karriere machen,to make a career,Sie will unbedingt Karriere machen.,She really wants to make a career.
die Einarbeitung,onboarding / orientation,Die Einarbeitung neuer Mitarbeiter dauert meist zwei Wochen.,The orientation of new employees usually takes two weeks.
der Betriebsrat,works council,Der Betriebsrat setzt sich für die Rechte der Angestellten ein.,The works council advocates for the rights of the employees.
der Arbeitsablauf,workflow,Wir müssen den Arbeitsablauf in der Produktion optimieren.,We need to optimize the workflow in production.
der Handwerker / die Handwerkerin,craftsman / craftswoman,Der Handwerker hat das Dach schnell repariert.,The craftsman repaired the roof quickly.
im Homeoffice arbeiten,to work from home,Darf ich morgen im Homeoffice arbeiten?,May I work from home tomorrow?
die Arbeitslosenversicherung,unemployment insurance,Die Arbeitslosenversicherung ist eine Pflichtversicherung.,Unemployment insurance is a mandatory insurance.
der Minijob,mini-job,Wir suchen eine Aushilfe auf Minijob-Basis.,We are looking for temporary help on a mini-job basis.
die Zeitarbeit,temporary employment,Er fand den Einstieg über eine Zeitarbeitsfirma.,He found his entry via a temporary employment agency.
der/die Ansprechpartner/-in,contact person,Herr Müller ist Ihr Ansprechpartner für alle technischen Fragen.,Mr. Müller is your contact person for all technical questions.
ein Bewerbungsschreiben verfassen,to write a letter of application,Es ist nicht einfach ein gutes Bewerbungsschreiben zu verfassen.,It is not easy to write a good letter of application.
die Besprechung,meeting,Die wöchentliche Besprechung findet montags statt.,The weekly meeting takes place on Mondays.
das Besprechungsprotokoll,minutes of the meeting,Wer schreibt heute das Besprechungsprotokoll?,Who is writing the minutes of the meeting today?
Bedenken äußern,to express concerns,Der Betriebsrat äußerte Bedenken gegen den Plan.,The works council expressed concerns about the plan.
die Teambesprechung,team meeting,In der Teambesprechung verteilen wir die Aufgaben.,In the team meeting we distribute the tasks.
widersprechen,to contradict,Da muss ich Ihnen leider widersprechen.,Unfortunately I have to contradict you there.
