Target Word,English Meaning,Example Sentence,English Translation
merhaba,hello,Merhaba! Nasılsın?,Hello! How are you?
teşekkür ederim,thank you,Yardımın için teşekkür ederim.,Thank you for your help.
lütfen,please,Bana yardım edebilir misin lütfen?,Can you help me, please?
evet,yes,Evet, anlıyorum.,Yes, I understand.
hayır,no,Hayır, bu doğru değil.,No, that is not correct.
ev,house,Evimizin üç odası var.,Our house has three rooms.
su,water,Her gün çok su içiyorum.,I drink a lot of water every day.
yemek yemek,to eat,Her akşam birlikte yemek yiyoruz.,We eat together every evening.
kitap,book,İlginç bir kitap okuyorum.,I am reading an interesting book.
konuşmak,to speak,Türkçe konuşmayı seviyorum.,I like to speak Turkish.
arkadaş,friend,Arkadaşım İstanbul'da yaşıyor.,My friend lives in Istanbul.
hava,weather,Bugün hava çok güzel.,The weather is very nice today.
köpek,dog,Köpek çok sevecen.,The dog is very friendly.
kedi,cat,Kedi kanepede uyuyor.,The cat is sleeping on the sofa.
çalışmak,to work,Bir ofiste çalışıyorum.,I work in an office.
