Target Word,English Meaning,Example Sentence,English Translation
hello,greeting,Hello! How are you today?,Hello! How are you today?
thank you,expression of gratitude,Thank you for your help.,Thank you for your help.
please,polite request word,Can you help me, please?,Can you help me, please?
yes,affirmative answer,Yes, I understand you.,Yes, I understand you.
no,negative answer,No, that is not correct.,No, that is not correct.
house,building where people live,The house has three rooms.,The house has three rooms.
water,clear liquid to drink,I drink a lot of water every day.,I drink a lot of water every day.
to eat,to consume food,We eat together every evening.,We eat together every evening.
book,written work with pages,I am reading an interesting book.,I am reading an interesting book.
friend,a person you like and trust,My friend lives in London.,My friend lives in London.
weather,outdoor atmospheric conditions,The weather is very nice today.,The weather is very nice today.
dog,common domestic pet animal,The dog is very friendly.,The dog is very friendly.
cat,small furry pet animal,The cat is sleeping on the sofa.,The cat is sleeping on the sofa.
to work,to do a job,I work in an office.,I work in an office.
to speak,to talk / to say words,I like to speak English.,I like to speak English.
